Position,MAN City (Team 1),Inter Milan (Team 2),Team 1 (matches_played),Team 2 (matches_played),Team 1 (Mins Played),Team 2 (Mins Played,Team 1 (Goals),Team 2 (Goals),Team 1 (Assists),Team 2 (Assists),Team 1 (No. of attempts),Team 2 (No. of attempts),Team 1 (Attempts_onTarget),Team 2 (Attempts_onTarget),Team 1 (Tackles),Team 2 (Tackles),Team 1 (Tackles_won),Team 2 (Tackles_won),Team 1 (Balls Recovered),Team 2 (Balls Recovered),Team 1 (Number_of_saves),Team 2 (Number_of_saves),Team 1 (clean_sheets),Team 2 (clean_sheets),Team 1 (Top_speed (km/hr)),Team 2 (Top_speed (km/hr),Team 1 (passing accuracy),Team 2 (passing accuracy),Result
2,Sergio Gómez,Matteo Darmian,5,10,307,736,0,0,1,0,7,1,2,0,3,16,1,10,14,40,0,0,0,0,33,32.9,92.16,81.8,1
2,Sergio Gómez,Milan Skriniar,5,8,307,536,0,0,1,0,7,1,2,0,3,8,1,3,14,22,0,0,0,0,33,31.2,92.16,87.38,1
2,Sergio Gómez,Alessandro Bastoni,5,11,307,913,0,0,1,3,7,4,2,1,3,19,1,9,14,44,0,0,0,0,33,33.9,92.16,86.1,1
2,Manuel Akanji,Denzel Dumfries,10,11,855,810,1,1,2,0,6,10,4,5,16,10,8,5,53,19,0,0,0,0,34.6,34.71,93.2,68.64,1
2,Manuel Akanji,Stefan de Vrij,10,7,855,298,1,0,2,0,6,0,4,0,16,6,8,3,53,11,0,0,0,0,34.6,31,93.2,76.72,1
2,Manuel Akanji,Raoul Bellanova,10,2,855,104,1,0,2,0,6,0,4,0,16,2,8,1,53,5,0,0,0,0,34.6,35.5,93.2,72.5,1
2,Manuel Akanji,Francesco Acerbi,10,11,855,829,1,0,2,0,6,9,4,2,16,12,8,9,53,54,0,0,0,0,34.6,31.4,93.2,81,0
2,Manuel Akanji,Federico Dimarco,10,10,855,646,1,0,2,5,6,11,4,2,16,5,8,1,53,28,0,0,0,0,34.6,33.4,93.2,74.91,1
2,Manuel Akanji,Danilo D'Ambrosio,10,5,855,150,1,0,2,0,6,2,4,1,16,3,8,2,53,12,0,0,0,0,34.6,30.6,93.2,70.8,0
2,Manuel Akanji,Matteo Darmian,10,10,855,736,1,0,2,0,6,1,4,0,16,16,8,10,53,40,0,0,0,0,34.6,32.9,93.2,81.8,0
